Centroid,consensus,barcode,nReads
c9564666-c347-4f4d-b703-c56205869ad5,NA%NA%NA%NA%NA%NA%NA,A7,1
d5944a39-6bf2-4e16-8bb5-4ce974446bd0,NA%NA%NA%NA%NA%NA%NA,A7,1
d5944a39-6bf2-4e16-8bb5-4ce974446bd0,NA%NA%NA%NA%NA%NA%NA,B7,5
d5944a39-6bf2-4e16-8bb5-4ce974446bd0,NA%NA%NA%NA%NA%NA%NA,C7,1
d5944a39-6bf2-4e16-8bb5-4ce974446bd0,NA%NA%NA%NA%NA%NA%NA,H6,1
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,A6,18
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,A7,40
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,A8,35
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,B6,87
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,B7,8
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,B8,18
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,C6,4
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,C7,7
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,C8,5616
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,D6,11
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,D7,10
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,D8,3887
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,E6,11
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,E7,14
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,E8,5406
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,F6,10
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,F7,41
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,F8,11368
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,G6,11
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,G7,20
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,G8,6954
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,H4,10257
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,H5,38
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,H6,16
a3cbdb4e-9075-4dba-b884-7f00db96dad6,NA%NA%NA%NA%NA%NA%NA,unknown,279
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,A8,1
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,D7,1
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,F6,1
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,G6,7
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,G8,1
6e861f04-49c8-42db-8185-92fc40b7cace,NA%NA%NA%NA%NA%NA%NA,H6,2
24c8a8c4-998d-4b22-8d8c-7033bb9c3c1a,NA%NA%NA%NA%NA%NA%NA,B6,102
24c8a8c4-998d-4b22-8d8c-7033bb9c3c1a,NA%NA%NA%NA%NA%NA%NA,G7,1
24c8a8c4-998d-4b22-8d8c-7033bb9c3c1a,NA%NA%NA%NA%NA%NA%NA,H5,2
24c8a8c4-998d-4b22-8d8c-7033bb9c3c1a,NA%NA%NA%NA%NA%NA%NA,H6,1
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,A7,2
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,A8,1
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,B6,1
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,D7,3
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,G6,3
56ea27e5-3c1f-4eb9-95f8-18260ae6ad94,NA%NA%NA%NA%NA%NA%NA,H6,2
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,A6,2
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,A7,24
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,A8,40
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,B6,1
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,B7,4
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,B8,60
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,C7,9
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,D6,1
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,D7,8
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,E6,1
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,E7,177
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,F7,180
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,G6,35
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,G7,115
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,G8,1
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,H5,153
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,H6,36
e59749e1-f3f4-442f-bfba-070972097e53,NA%NA%NA%NA%NA%NA%NA,unknown,8
0d2793c2-3e96-412b-8c26-76cc5b5e9ff5,NA%NA%NA%NA%NA%NA%NA,C8,1
0d2793c2-3e96-412b-8c26-76cc5b5e9ff5,NA%NA%NA%NA%NA%NA%NA,D8,1
0d2793c2-3e96-412b-8c26-76cc5b5e9ff5,NA%NA%NA%NA%NA%NA%NA,F8,2
0d2793c2-3e96-412b-8c26-76cc5b5e9ff5,NA%NA%NA%NA%NA%NA%NA,G8,1
0d2793c2-3e96-412b-8c26-76cc5b5e9ff5,NA%NA%NA%NA%NA%NA%NA,H4,1
f3fba64f-8b06-4eb5-a482-b23bedf1726e,NA%NA%NA%NA%NA%NA%NA,H6,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,B6,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,C8,7
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,D7,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,D8,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,E6,2
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,E8,3
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,F6,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,F8,4
