barcode,Centroid,nReads
A6,31dd4170-5932-44b1-a1b4-f00b452f5a91,1
A6,31fee63a-9c8a-4efb-927b-ce67406b390e,1
A6,32383d6d-1819-4de5-8240-7120a422afca,65
A6,3253c9fa-ef44-40af-8475-af541a41739f,17
A6,3277396b-525f-47f1-b453-6b2e3a47d30c,9
A6,32d5acb6-1ff9-4c9e-bac2-8b4b8b23a3f0,1
A6,33174d8e-3aa3-41d4-a516-c4076dddd0fd,38
A6,33e3cc92-34df-400a-b0c7-a4b8e258e74a,1
A6,33eb0776-31cf-48dc-bb22-36081ed641c8,171
A6,3423dd9b-fd49-44ce-a977-e68fd58c52ac,1
A6,3431c1de-762a-4b9e-abf7-39fb61ca0f58,135
A6,34352137-456c-48d8-be36-6829b2cfb559,31
A6,3491ad1d-5dd7-4d0c-b69a-1138c4a71bc3,1
A6,349d3b7b-662f-4a4d-a414-9e02643a1bc8,34
A6,3506e812-7e1f-45c8-a0e1-456934469798,31
A6,351d9d5d-ae50-476c-8b8e-a13500d1ee11,8
A6,35592158-d6b5-4539-83ed-121b74a11b7a,2
A6,357f90c5-99a6-4504-9b14-c4c5535be14b,7
A6,36029572-edfe-4489-aafc-cdec43479676,7
A6,364dec38-2f16-4e34-8b19-135b1570426d,12
A6,36b36f4d-dd50-4393-8996-99a4cfc5ed71,1
A6,36b6edc8-cf45-41b4-9956-8680440bca5b,31
A6,36bc17a5-0344-4a36-8927-0dd27c00669c,1
A6,37378601-aa59-4bbb-a954-95001f158561,8
A6,37aa2bef-5b97-449b-8b50-ec565beb7c3b,110
A6,37c469b5-3f11-4fee-b39f-42b65b0169ba,27
A6,37fe1b94-d38e-4d4c-877d-04c428308bfd,261
A6,38d8bf9b-562a-44a6-af42-a2ee1f5a31c4,1
A6,391139fc-25c6-47b0-8c5f-4e710395c857,56
A6,3991fceb-5f95-4a14-9e44-36478cc89020,1
A6,3a32ee6a-dd8f-41ba-a988-a744f857d404,1
A6,3a3a730a-2135-42fa-907e-4a1d955bc768,2
A6,3ac7a9ad-5d98-45e5-9cf1-4c21f84ed8ac,22
A6,3b0c9ca3-e396-4ca6-8b55-e43604447092,21
A6,3b463d8f-753f-4667-ba1e-db1f4d8343e2,9
A6,3b6838eb-c62d-423f-b054-d114b3a21980,10
A6,3bd52264-ad7a-4425-8f44-fb278cd9424b,2
A6,3beb86b7-5434-4771-b5c0-6db1b38ffeaf,2
A6,3bfe12f7-fb33-4e0e-bcb2-43b140a98994,89
A6,3c1101bf-f33a-4d38-a4a9-8de26f443ba4,1
A6,3c55aba8-82ed-48fe-a202-2fa37004f9d4,14
A6,3ce9311b-1588-414b-8ef3-84f74d04bcb5,51
A6,3d6525f9-9176-4a3c-8757-52e8ccf69955,1
A6,3dbed1f5-5506-4ee5-bf7e-590f82e8d57a,8
A6,3e287731-1910-44b4-bd35-60045524dda5,1
A6,3e62c0a1-a4c4-4b3d-b298-4a3de9cc39b0,1
A6,3e96921b-7e3f-414a-aaef-984366d8d9f0,21
A6,3ebe9bba-e7a3-4f81-96f4-cab834142656,9
A6,3f0cbfab-009f-4954-99fb-31fa4080649d,1
A6,3f6fd0eb-0ce3-4113-b414-e3891cfc3510,14
A6,3f7826d3-52c9-4eb5-9a5f-b5bbcb47b647,12
A6,407669ea-93db-4d01-9573-4f4a64fb9584,28
A6,4088b976-b964-4440-a45d-91ad1d8ee839,47
A6,41487705-c8c8-4042-86ad-f67c95cc6379,1
A6,4154ae2e-f786-4abd-9ea4-e4dbe0edf566,36
A6,415b5086-bc70-41b6-aa92-94fc27dbbb4d,4
A6,415c8d92-34f3-4ae6-bcf9-1f4eaf9a09d9,7
A6,4188cd5c-2cb5-4ed6-b10f-d88b5f370bea,35
A6,41a841c7-9b87-4fce-ae3b-a3931a74bc3c,2
A6,41dcdce9-e797-4b5e-9725-6d69c1af33e7,1
A6,41e253ce-8d6e-4d3e-be3a-36ab89e7c846,1
A6,41e9e26c-3415-4d92-9b49-f7f4d2febc95,2
A6,41f6ab99-6f26-4983-beb4-a0a6c83b917a,21
A6,4207caad-dd00-4aba-bbf6-337820325ded,104
A6,42461b29-5dce-4451-87a4-cf119fe4a1ff,1
A6,4259c5cd-8cdc-40fa-a9d4-87579bca5fdb,1
A6,42ad847c-ca13-4cd4-8636-6f7dd536d7ba,15
A6,42ae99a6-7ed1-474f-928c-66ccf4efc0fb,1
A6,42c84426-1186-417c-9d3d-4e9256ca75b4,2
A6,42dd4f3e-2b58-43ae-a1bc-a06a0fc4f779,8
A6,43408e71-b8eb-4b10-bdef-73cae97ea42c,671
A6,43871a09-6c61-42d6-9411-c939268b8328,1
A6,43910d05-b569-45b7-af83-3aa8bb92e037,2
A6,44144795-46e9-4ba7-bc57-a715926fe9cb,1
A6,4421345f-0716-4703-8f13-317a0295c46d,2
A6,443285a8-0092-4e44-9b58-959e723a8434,6
A6,44b57f5f-27ef-49a0-b3f6-808c094ba5a9,3
A6,44c940fb-7dc0-4b90-8839-a6fbc5253e81,58
A6,454b210c-ff1e-4d5f-af20-5b4df78b85cd,11
A6,45f7fa3a-cdb3-4643-8b20-1731a27b1b6a,1
A6,47a29adc-6daa-460b-8f6f-4b6b44935336,1
A6,47d81f2a-cac7-429f-9dbd-92b1227a30f9,13
A6,48651208-1772-46f2-b830-2d1f48a41d71,2
A6,487eb834-30ff-490b-abe8-b190ee0f1ab9,37
A6,4897da1b-538e-420e-81c7-ab68ef5b8e85,1
A6,48e6c542-09f9-4e6a-ac28-ceedeb5dc215,3
A6,4a315df5-1586-4426-8538-1217f88b8092,29675
A6,4a79eed9-5300-47eb-be96-ea4eab136d43,1
A6,4a7a2c8e-79c2-4d72-911b-f1bec681dd2a,1
A6,4a7cc27e-5587-4ca4-a912-23e236d3c065,3
A6,4a88b245-fa14-4f82-bacd-7bc4b3a70bec,1
A6,4ac28da8-8fde-42ad-b5f8-ae1d26107f6e,5
A6,4afe1a0f-4590-474b-b705-cd802e486993,1
A6,4b0da9af-0597-4c5a-8222-9f2b7945df02,1
A6,4b8ada55-d17d-47b5-8b0d-875273ed08f1,1
A6,4cd48319-09e9-40cc-9e05-472846db58c3,1
A6,4cd64632-5a96-47df-9821-8e7bffb1f6d1,1
A6,4cf58d36-3845-4b90-91fd-375a15bd971e,1
A6,4d5e56ad-fd66-4829-b411-0bf10e559a15,5
A6,4d7ab269-5b0c-4935-90a7-3cd0983e11c0,267
A6,4dca9767-9ce8-4ba5-b094-9f029b6532b5,12
A6,4dccd8ad-7dd0-4da4-bbca-0b91a5da5749,17
A6,4df18a31-6803-4952-984e-710b45ae01ea,4262
A6,4e48b9f8-077b-4d1f-afd7-96d405eb5d08,1
A6,4ece3fba-91ef-4657-b10b-e5685ba8ad72,6
A6,4edebfcf-e765-4832-ae4e-c2e40d99c626,1
A6,4fbdfb74-247b-4e67-a7c5-1b04ac6565fb,17
A6,506e20da-b1c3-43bb-9a46-921cf56f7b4a,5
A6,507f747b-b651-4e33-a8a2-8e7af2b72e10,4
A6,5119695f-4e32-4ae7-9e0d-f0eed6d75211,2
A6,515aae81-bf2e-4b8b-b60e-efa7110bfc5c,4
A6,51673834-d936-47d0-93c4-ff6d3c794922,1
A6,51aa1f26-3846-4f2b-90a4-7f3529c82b87,10
A6,51e63b1a-f666-40f8-80ce-d9c4b0b8b3e3,1
A6,525a68ee-2ea2-40f9-b8f3-d98e70937e6d,1
A6,53063803-00ca-4a12-bd0d-1ed9655a8cd0,1
A6,5311351e-d7a7-4efb-ac07-a5d8304f0a6e,1
A6,5389574a-1e01-4cf4-95f5-712199a3f740,1
A6,53c8c3bd-20cb-4818-a0b0-48b38bf9bef5,10
A6,53d630e7-fa60-4eef-aca9-464a74ad7a66,1
A6,53dfae08-2aa6-4276-8140-5febc698065f,1
A6,54a38d9e-a1ef-4868-8a65-0c7c11ffa0b5,5
A6,54acbfe6-7ff6-4b42-9dfc-fb813ba11895,3709
A6,5504a8f9-c991-4ab1-8a1a-1a478faa7ac7,44
A6,55624134-2b17-4ba4-b4e7-ecbf3f180852,2
A6,556d30ca-2223-42a9-850e-b3105c90e8ad,56
A6,55d10c09-7525-4531-a01f-0bd5ca97b499,1
A6,55fc23a2-25a3-4295-9d72-51d2df7809a7,1
A6,5641ee02-eb91-4b0c-bcbc-13cc010c59e1,3
A6,5652567b-4af9-4fd1-8260-ce6477781e75,61
A6,567d69e1-3be3-47e6-9d3b-b03707803c79,13
A6,56a758d4-bd6a-436d-bd5b-5b64686f6c66,1
A6,5702ebf1-1053-4cfd-ab94-c82c9dca0814,2
A6,5713e358-d524-4396-9274-62519aa5ea30,1
A6,57ba89de-27f9-4302-9cd0-fb4dab2e9f54,9
A6,57daddb8-ef3d-4b28-ac68-0a9f61fe16f3,1
A6,580c518d-88ea-4b2b-aa22-581360690363,9
A6,5893b9a2-c196-4f34-a8dc-61fbd29cc39b,34
A6,5928c8e0-fe79-4d70-8a64-1b3d7ee0a3ca,2
A6,594e9f4f-69d8-4968-9f1e-acbdb77eb8c6,4
A6,5950049e-21cf-43b0-8da6-14033fc0afb1,35
A6,59bff9c5-4ecb-4827-b50a-afd7dee27046,1
A6,5a3f694f-1bd3-42ba-abd3-87b8f6b40370,24
A6,5a51beb5-7074-4f3f-8f24-77e027b0cc71,1
A6,5a5d17e9-5881-4d50-b1b0-e49e36225646,2
A6,5acf1fb1-c7ad-48c5-aa3d-ff5b64f1b3f4,1
A6,5af7a07d-faa7-4e4c-88fc-d89af6216fdf,3141
A6,5b0d7c91-8ed9-464e-8079-7e1d9da3277f,1113
A6,5b1ba454-3ece-47d3-867e-7e379d2a6bd2,2
A6,5b43a8e9-4b49-4354-b98a-26ee50d2d297,22
A6,5bf38fdb-0518-437c-9cd8-a34d4044f6e8,5
A6,5c739dc0-8cf4-4618-97e5-ecc6edb16226,5
A6,5c7826cf-750d-4906-b1fd-aa7e6da2816a,3
A6,5cac0ae6-8bb3-403f-8d56-463989bb9d8b,2
A6,5d8137de-8fc2-44c0-bcb9-6650f87d07db,27
A6,5db2a519-539b-44a4-a9fd-5f423fd37157,26
A6,5db93468-9a9d-4fc1-8618-2b48fe52416a,1
A6,5e2e1103-afcd-4eff-8b04-3770736471ec,1
A6,5ec94b0c-4c24-48ef-8db6-fcc607155454,4
A6,5eeebed2-71ef-43d4-9180-077e3df97e50,4
A6,5f2e2e82-1636-4566-8de8-93dae426666d,4
A6,5f636ccf-69a1-4055-8e03-6488bd3a8028,1
A6,5fb1e96c-723b-4e99-8503-0e7884af75eb,14
A6,5fd163c2-1a01-4418-ba7c-7011a8dd9f03,30
A6,5fecd2d5-1753-4ec8-870c-daaf52565dd0,2
A6,603515fe-71bf-495f-9f28-b4ee9d978f33,1
A6,60c0586d-fe2a-4e76-997b-d6ac0b5fa894,1
A6,60e5a295-69bd-4162-8cae-2016503f87b3,1
A6,610e53b7-d2e6-44b1-9762-8f6a45504ae5,1
A6,612ac8a9-c8e2-4955-9e4f-da9be6e7959c,3
A6,612e21af-12f8-4941-93cd-ca89705548ea,1
A6,61ecfe10-a435-48e7-a70b-40672e7b52ba,4
A6,625760cd-23e6-4c16-bd71-a28304441f70,3
A6,628c9675-f4ce-4318-b80f-869be54c09e2,1
A6,62ff9deb-5fea-4c24-91fb-61390ccd1f0b,1
A6,634fbd3b-14f4-43d6-8934-f35bd7e794be,3
A6,63a4c429-e10d-48ae-a46a-75ff29a55226,10
A6,644c7fea-a6f6-4cb0-953b-1f1c5ddfac8f,1
A6,6491fe00-e2b6-42f2-9cd8-6f14561f45ba,4
A6,65979087-414a-4f17-9722-d069e7041930,1
A6,65f751b9-24de-4ae5-93aa-9bf17f5eea9a,3
A6,6611c998-38f6-4431-8884-48a2b52dd7b7,1
A6,66354977-fbd5-4a24-abbd-fb23ee3af50c,1
A6,665cbb0b-751c-484b-9443-b2834e33de27,2
A6,66cbe862-258b-4d4e-8cc8-ea3e4a0be51d,58
A6,66cef101-f7cf-4696-85c1-7a73f5fe3656,1
A6,66ea112e-80b6-4d23-92eb-0d594d8eb421,1
A6,674d8771-fcb7-475c-b8d4-cfa5297fa32b,1
A6,67c6cfba-af81-4c80-9186-df60c6eaffe5,4
A6,680ad038-cd8a-4036-82af-de808e8fe3d2,4
A6,6913f399-d34c-4bc4-a635-b091a2caa368,50
A6,692fdd2e-51df-4d3a-ae0c-fd166ae08027,1
A6,6942919f-8dfd-44a5-9be1-65a1b6f4d0dc,1
A6,6956c20c-44a6-41e9-ab25-d1a577c1a869,2
A6,69c84ff7-6005-4b07-80ae-40cc0d6bb59f,1
